primary_label,support,same_col,best_col,remapped,strength,same_auc,best_auc,same_corr,best_corr
1161364,0,0,0,False,0.0,,,,
116570,13,1,85,True,0.88,0.6201439,0.92484784,0.071846455,0.24345274
1176823,0,2,2,False,0.0,,,,
1491113,79,3,79,True,0.88,0.58268094,0.8396088,0.10693604,0.42761683
1595929,0,4,4,False,0.0,,,,
209233,0,5,5,False,0.0,,,,
22930,0,6,6,False,0.0,,,,
22956,0,7,7,False,0.0,,,,
22961,36,8,15,True,0.88,0.64839613,0.89368385,0.15032122,0.3504318
22967,155,9,9,False,0.0,0.7813568,0.7813568,0.56041414,0.56041414
22973,212,10,10,False,0.0,0.7532429,0.7532429,0.5225347,0.5225347
22983,0,11,11,False,0.0,,,,
22985,0,12,12,False,0.0,,,,
23150,0,13,13,False,0.0,,,,
23154,0,14,14,False,0.0,,,,
23158,175,15,15,False,0.0,0.88435274,0.9040686,0.701267,0.69261605
23176,0,16,16,False,0.0,,,,
23724,0,17,17,False,0.0,,,,
24279,173,18,18,False,0.0,0.8879585,0.8879585,0.6264054,0.6264054
24285,0,19,19,False,0.0,,,,
24287,0,20,20,False,0.0,,,,
24321,172,21,14,True,0.8239046,0.80088294,0.88797295,0.40154436,0.64943653
244024,0,22,22,False,0.0,,,,
25073,12,23,6,True,0.88,0.2816092,0.9920977,-0.09142301,0.4600637
25092,24,24,24,False,0.0,0.9314693,0.9568104,0.32828435,0.44516245
25214,0,25,25,False,0.0,,,,
326272,23,26,146,True,0.88,0.49412885,0.8440495,-0.0362452,0.21667781
41970,0,27,27,False,0.0,,,,
43435,12,28,28,False,0.0,0.9820402,0.9978448,0.4224913,0.46149495
47144,15,29,124,True,0.57250345,0.8643579,0.95834535,0.30112287,0.3245695
47158son01,23,30,112,True,0.88,0.73563945,0.962615,0.13778901,0.37879518
47158son02,7,31,165,True,0.88,0.46443856,0.99307114,-0.014739818,0.34624723
47158son03,33,32,74,True,0.88,0.36794612,0.91905725,-0.09661878,0.3898283
47158son04,17,33,111,True,0.88,0.44113392,0.8900996,-0.032832194,0.6813243
47158son05,3,34,214,True,0.88,0.5650118,0.95555556,0.012224595,0.12459328
47158son06,18,35,213,True,0.88,0.5273752,0.98228663,0.013045748,0.43270454
47158son07,48,36,143,True,0.88,0.44564393,0.9766414,-0.043542594,0.5993495
47158son08,17,37,72,True,0.88,0.3378735,0.8967396,-0.08232868,0.21374784
47158son09,6,38,129,True,0.88,0.40408358,0.96889836,-0.028383924,0.28285667
47158son10,33,39,226,True,0.88,0.42087543,0.8587654,-0.06687819,0.2759711
47158son11,36,40,156,True,0.88,0.34044313,0.8537533,-0.11624466,0.2735466
47158son12,5,41,126,True,0.88,0.6145092,0.95448077,0.026181964,0.15375496
47158son13,36,42,0,True,0.88,0.56580687,0.90955687,0.03493282,0.46620244
47158son14,12,43,165,True,0.88,0.68977493,0.9978448,0.07849746,0.46149495
47158son15,12,44,228,True,0.88,0.36278737,0.96671456,-0.063475855,0.32564694
47158son16,12,45,228,True,0.88,0.4408525,0.96671456,-0.028513832,0.32564694
47158son17,43,46,77,True,0.88,0.48567933,0.91376114,-0.026161458,0.38159642
47158son18,12,47,127,True,0.88,0.38242337,0.95581895,-0.05128948,0.3306629
47158son19,5,48,120,True,0.88,0.35618776,0.9593172,-0.04806216,0.22643349
47158son20,12,49,120,True,0.88,0.43438697,0.92181516,-0.0256516,0.24767828
47158son21,22,50,153,True,0.88,0.6510072,0.988802,0.06984458,0.3813957
47158son22,24,51,0,True,0.88,0.71278024,0.987634,0.11067062,0.5129508
47158son23,24,52,0,True,0.88,0.63492936,0.987634,0.06400157,0.5129508
47158son24,24,53,156,True,0.88,0.42817983,0.87171054,-0.046539113,0.2400319
47158son25,84,54,28,True,0.88,0.3975122,0.8932006,-0.12547116,0.496968
476521,0,55,55,False,0.0,,,,
516975,0,56,56,False,0.0,,,,
