name,min_support,weight,macro_auc,micro_auc,top1_hit,top5_hit,scored_classes,corr_vs_anchor,mad_vs_anchor,classes_mixed,sources_used,selected_classes
v126_min1_w0.7_rankcal,1,0.7,0.98060057,0.91703497,0.23287671,0.52054795,22,0.99706961,0.00218707,6,v112_backtracking_remap;v119_roniheka_hgnet,47158son01;47158son13;47158son21;47158son22;47158son23;plcjay1
v126_min1_w0.5_rankcal,1,0.5,0.98054323,0.91692589,0.23287671,0.50684932,22,0.99850632,0.00156219,6,v112_backtracking_remap;v119_roniheka_hgnet,47158son01;47158son13;47158son21;47158son22;47158son23;plcjay1
v126_min2_w0.7_rankcal,2,0.7,0.98021860,0.91700965,0.23287671,0.52054795,22,0.99708540,0.00211968,5,v112_backtracking_remap;v119_roniheka_hgnet,47158son01;47158son13;47158son21;47158son22;47158son23
v126_min5_w0.7_rankcal,5,0.7,0.98021860,0.91700965,0.23287671,0.52054795,22,0.99708540,0.00211968,5,v112_backtracking_remap;v119_roniheka_hgnet,47158son01;47158son13;47158son21;47158son22;47158son23
v126_min10_w0.7_rankcal,10,0.7,0.98021860,0.91700965,0.23287671,0.52054795,22,0.99708540,0.00211968,5,v112_backtracking_remap;v119_roniheka_hgnet,47158son01;47158son13;47158son21;47158son22;47158son23
v126_min15_w0.7_rankcal,15,0.7,0.98018069,0.91689689,0.23287671,0.50684932,22,0.99762162,0.00168933,4,v112_backtracking_remap;v119_roniheka_hgnet,47158son13;47158son21;47158son22;47158son23
v126_min20_w0.7_rankcal,20,0.7,0.98018069,0.91689689,0.23287671,0.50684932,22,0.99762162,0.00168933,4,v112_backtracking_remap;v119_roniheka_hgnet,47158son13;47158son21;47158son22;47158son23
v126_min2_w0.5_rankcal,2,0.5,0.98016126,0.91690702,0.23287671,0.50684932,22,0.99851431,0.00151406,5,v112_backtracking_remap;v119_roniheka_hgnet,47158son01;47158son13;47158son21;47158son22;47158son23
v126_min5_w0.5_rankcal,5,0.5,0.98016126,0.91690702,0.23287671,0.50684932,22,0.99851431,0.00151406,5,v112_backtracking_remap;v119_roniheka_hgnet,47158son01;47158son13;47158son21;47158son22;47158son23
v126_min10_w0.5_rankcal,10,0.5,0.98016126,0.91690702,0.23287671,0.50684932,22,0.99851431,0.00151406,5,v112_backtracking_remap;v119_roniheka_hgnet,47158son01;47158son13;47158son21;47158son22;47158son23
v126_min15_w0.5_rankcal,15,0.5,0.98016126,0.91680991,0.23287671,0.50684932,22,0.99878731,0.00120667,4,v112_backtracking_remap;v119_roniheka_hgnet,47158son13;47158son21;47158son22;47158son23
v126_min20_w0.5_rankcal,20,0.5,0.98016126,0.91680991,0.23287671,0.50684932,22,0.99878731,0.00120667,4,v112_backtracking_remap;v119_roniheka_hgnet,47158son13;47158son21;47158son22;47158son23
v126_min1_w0.35_rankcal,1,0.35,0.97990333,0.91670359,0.23287671,0.50684932,22,0.99926896,0.00109353,6,v112_backtracking_remap;v119_roniheka_hgnet,47158son01;47158son13;47158son21;47158son22;47158son23;plcjay1
v126_min2_w0.35_rankcal,2,0.35,0.97990333,0.91668990,0.23287671,0.50684932,22,0.99927285,0.00105984,5,v112_backtracking_remap;v119_roniheka_hgnet,47158son01;47158son13;47158son21;47158son22;47158son23
v126_min5_w0.35_rankcal,5,0.35,0.97990333,0.91668990,0.23287671,0.50684932,22,0.99927285,0.00105984,5,v112_backtracking_remap;v119_roniheka_hgnet,47158son01;47158son13;47158son21;47158son22;47158son23
v126_min10_w0.35_rankcal,10,0.35,0.97990333,0.91668990,0.23287671,0.50684932,22,0.99927285,0.00105984,5,v112_backtracking_remap;v119_roniheka_hgnet,47158son01;47158son13;47158son21;47158son22;47158son23
v126_min15_w0.35_rankcal,15,0.35,0.97990333,0.91660878,0.23287671,0.50684932,22,0.99940629,0.00084467,4,v112_backtracking_remap;v119_roniheka_hgnet,47158son13;47158son21;47158son22;47158son23
v126_min20_w0.35_rankcal,20,0.35,0.97990333,0.91660878,0.23287671,0.50684932,22,0.99940629,0.00084467,4,v112_backtracking_remap;v119_roniheka_hgnet,47158son13;47158son21;47158son22;47158son23
v114_anchor,0,0.0,0.97920102,0.91572402,0.23287671,0.52054795,22,1.00000000,0.00000000,0,,
v126_min25_w0.35_rankcal,25,0.35,0.97920102,0.91572402,0.23287671,0.52054795,22,1.00000000,0.00000000,0,,
v126_min25_w0.5_rankcal,25,0.5,0.97920102,0.91572402,0.23287671,0.52054795,22,1.00000000,0.00000000,0,,
v126_min25_w0.7_rankcal,25,0.7,0.97920102,0.91572402,0.23287671,0.52054795,22,1.00000000,0.00000000,0,,
